Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,height,width,distortion_model,D_0,D_1,D_2,D_3,D_4,K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,binning_x,binning_y,roi.x_offset,roi.y_offset,roi.height,roi.width,roi.do_rectify
1728711287.191643,8028,1728711287,130078554,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.2584136,8029,1728711287,196803093,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.3249779,8030,1728711287,263527393,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.391963,8031,1728711287,330251694,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.459293,8032,1728711287,396972895,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.525551,8033,1728711287,463694096,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.5920978,8034,1728711287,530416250,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.6586614,8035,1728711287,597137451,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.7253323,8036,1728711287,663858652,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.792126,8037,1728711287,730580091,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.858821,8038,1728711287,797301292,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.9254782,8039,1728711287,864022493,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711287.99215,8040,1728711287,930743694,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1728711288.059042,8041,1728711287,997465134,camera_color_optical_frame,480,640,plumb_bob,-0.05551962926983833,0.06743203103542328,-0.00011596848344197497,0.00016109277203213423,-0.02195647917687893,386.225341796875,0.0,329.5455322265625,0.0,385.2564392089844,244.97164916992188,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,386.225341796875,0.0,329.5455322265625,0.0,0.0,385.2564392089844,244.97164916992188,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
