Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,height,width,distortion_model,D_0,D_1,D_2,D_3,D_4,K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,binning_x,binning_y,roi.x_offset,roi.y_offset,roi.height,roi.width,roi.do_rectify
1733857825.1032183,12296,1733857825,69599152,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.1341553,12297,1733857825,102944851,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.1682906,12298,1733857825,136291504,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.2016594,12299,1733857825,169637203,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.2378774,12300,1733857825,202983856,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.269815,12301,1733857825,236329317,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.3035586,12302,1733857825,269675970,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.336152,12303,1733857825,303021669,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.3693638,12304,1733857825,336368322,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
1733857825.4024422,12305,1733857825,369713783,camera_color_optical_frame,720,1280,plumb_bob,-0.0555196292698383,0.0674320310354232,-0.0001159684834419,0.0001610927720321,-0.0219564791768789,645.283203125,0.0,655.9091796875,0.0,643.66455078125,368.2861022949219,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,645.283203125,0.0,655.9091796875,0.0,0.0,643.66455078125,368.2861022949219,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,False
