Image Timestamp,Joint State Timestamp
1728711291.7365613,1728711284.9008431
1728711291.803073,1728711284.922338
1728711291.87025,1728711284.9420488
1728711291.9371989,1728711284.9620686
1728711292.004567,1728711284.98174
1728711292.0725584,1728711285.0025198
1728711292.1377568,1728711285.0227084
1728711292.2019277,1728711285.042601
1728711292.2675538,1728711285.0629914
1728711292.3364232,1728711285.0838258
1728711292.4035747,1728711285.103319
1728711292.4696784,1728711285.1244447
1728711292.5363698,1728711285.1445556
1728711292.604369,1728711285.1646461
1728711292.6721852,1728711285.1846683
1728711292.737133,1728711285.2045324
1728711292.8040972,1728711285.2253325
1728711292.8715103,1728711285.24494
1728711292.9378417,1728711285.2651117
1728711293.0037374,1728711285.2857666
1728711293.0707839,1728711285.3054373
1728711293.1371825,1728711285.3259618
1728711293.204356,1728711285.3459933
1728711293.270947,1728711285.366586
1728711293.3375287,1728711285.3871896
1728711293.4034379,1728711285.4072018
1728711293.4709873,1728711285.4272614
1728711293.5378666,1728711285.4474328
1728711293.605727,1728711285.4689534
1728711293.672216,1728711285.4890645
1728711293.7388172,1728711285.4990406
1728711293.804506,1728711285.5184076
1728711293.8721895,1728711285.538727
1728711293.937091,1728711285.559802
1728711294.005314,1728711285.5793633
1728711294.0712204,1728711285.599747
1728711294.1384842,1728711285.62016
1728711294.2045965,1728711285.6399014
1728711294.2709117,1728711285.6608558
1728711294.3378065,1728711285.6812003
1728711294.405553,1728711285.701194
1728711294.4722154,1728711285.7210314
1728711294.538949,1728711285.7410386
1728711294.6053839,1728711285.7611294
1728711294.6724343,1728711285.782147
1728711294.7410579,1728711285.8018239
1728711294.80311,1728711285.821773
1728711294.8685546,1728711285.84251
1728711294.9391084,1728711285.8632956
1728711295.0064614,1728711285.8828719
1728711295.0730178,1728711285.902857
1728711295.139744,1728711285.9231107
1728711295.2081902,1728711285.943994
1728711295.2741408,1728711285.963342
1728711295.3411849,1728711285.9835818
1728711295.410578,1728711286.0035896
1728711295.4688907,1728711286.0239081
1728711295.5352316,1728711286.0443895
1728711295.6034062,1728711286.064195
1728711295.672754,1728711286.084421
1728711295.7389505,1728711286.104919
1728711295.8056211,1728711286.1246014
1728711295.8729112,1728711286.1451895
1728711295.939965,1728711286.166322
1728711296.0068676,1728711286.1857357
1728711296.0741348,1728711286.2059374
1728711296.140413,1728711286.2260692
1728711296.2067223,1728711286.2460449
1728711296.273278,1728711286.2666476
1728711296.3397086,1728711286.2867527
1728711296.4062097,1728711286.3071105
1728711296.4727757,1728711286.3273976
1728711296.5395188,1728711286.3472564
1728711296.6065602,1728711286.3682032
1728711296.6735706,1728711286.387685
1728711296.741558,1728711286.4085271
1728711296.8099566,1728711286.4285347
1728711296.874221,1728711286.4485028
1728711296.9400992,1728711286.458896
1728711297.0078568,1728711286.4793532
1728711297.0745914,1728711286.4985194
1728711297.140313,1728711286.5193217
1728711297.20815,1728711286.5398736
1728711297.274066,1728711286.559257
1728711297.3403041,1728711286.580443
1728711297.4077241,1728711286.5994742
1728711297.4759748,1728711286.6197352
1728711297.5426135,1728711286.6408887
1728711297.6087148,1728711286.6611016
1728711297.6761396,1728711286.68138
1728711297.743565,1728711286.7012217
1728711297.8083737,1728711286.7208872
1728711297.876188,1728711286.7411737
1728711297.941617,1728711286.7613387
1728711298.0083628,1728711286.7821438
1728711298.075033,1728711286.8018541
1728711298.1420734,1728711286.822071
1728711298.2083945,1728711286.8420508
1728711298.2758183,1728711286.8628829
