timestamp,joint_states
1728711286.1311016,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.1976652,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.2645013,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.3309715,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.398372,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.46455,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.5361817,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.5959878,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.663274,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.7294257,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.7955713,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.8622282,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.9288218,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711286.9957032,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.0624292,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.1290073,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.195858,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.2628489,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.329944,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.3964527,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.4637017,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.5295806,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.5962086,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.662715,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.7294092,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.796312,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.8630219,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.929566,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711287.996316,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.0633435,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.1310844,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.1972895,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.263716,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.3305528,"0.5181460976600647, -0.9888941645622253, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.3969223,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.4633498,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.5310607,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.596927,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.6636627,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.7303529,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.7969298,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.869434,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711288.9342957,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.0021448,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.0681298,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.1353188,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.2023242,"0.5181460976600647, -0.9888960719108582, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.2682877,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.334322,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.4005494,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.469095,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.535797,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.6026447,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.6684,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.7360916,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.8019965,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.8687222,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711289.9351132,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.0019271,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.068526,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.1348548,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.2020566,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.2684782,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.336398,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.397012,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.4676785,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.5362463,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.606405,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.6694148,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.7363524,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.802564,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
1728711290.8690195,"0.5181460976600647, -0.988897979259491, 0.7665455341339111, 0.506646990776062, 2.230816602706909, -0.5908644795417786, -2.043787717819214"
