timestamp,joint_states
1733857826.8177404,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.8456821,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.8795674,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800286650657654, 0.8594472408294678, 0.08014091104269028"
1733857826.9092565,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857826.942221,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857826.9782662,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.0091724,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.044593,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.0788434,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.1079316,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.143782,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.1780915,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.213516,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.2486925,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.2821152,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.3112328,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.3444986,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.3783934,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.4110982,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.444006,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.477426,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.5095818,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.5423799,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.577829,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.6096022,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.6424193,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800478875637054, 0.8594472408294678, 0.08014091104269028"
1733857827.6773918,"-0.0671461746096611, -1.2524760961532593, 0.7152032256126404, 0.3173518776893616, 0.23800671100616455, 0.8594472408294678, 0.08014091104269028"
